Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"First Floor Room 2, Old Town Hall, Thornton Square, Brighouse            HD6 1ED",29576710,,2600,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 10F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628841,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1300,Office,Empty Property - RV < 15000
Binks Executive Homes Ltd,"First Floor, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636708,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",1300,Factory and Premises,Rateable Value below threshold
Bizspace Ltd,"Unit 10D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628848,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1025,Office,Empty Property - RV < 15000
Calderdale Mbc,"76 Rustic, Piece Hall, Halifax, HX1 1RE",68252789,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",7600,Shop and Premises,Listed Building
Sharlketh Ltd,"Unit 8 Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",76508723,"Netherclough, Cragg Vale, Mytholmroyd, Hebden Bridge, HX7 5RX",530,Workshop And Premises,Rateable Value below threshold
Bizspace Ltd,"The Gatehouse, Unit 22, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628716,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2175,Offices and Premises,Rateable Value below threshold
Tesco Stores Ltd,"Adj.Hss Hire Shop, Huddersfield Road, Halifax, HX3 0AA",65412716,"G L Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",3750,Store And Premises,Empty Relief - Post 01/04/2008
,"Unity Street, Walsden, Todmorden, OL14 7SR",78496700,,1200,Store And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 4A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212753,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1450,Store And Premises,Listed Building
J & G Ainley Tow Bar Ltd,"Unit 7, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236710,"Eastfield Mills, Belmont Street, Horley Green, Halifax, HX3 6AT",1850,Workshop,Empty Property - RV < 15000
,"Room 3,2nd Floor, 3 Clare Road, Halifax, HX1 2HX",64584750,,1225,Offices and Premises,Rateable Value below threshold
,"Unit 2 1ST Flr, Calder Workshop, Gibbet Street, Halifax              HX1 4JQ",65164886,,2350,Store And Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"The Weaving Shed, Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526761,"Reedham House, 31 King Street, Manchester, M3 2PJ",23500,Warehouse And Premises,Listed Building
,"Room 2, 3 Clare Road, Halifax, HX1 2HX",64584748,,1225,Offices and Premises,Rateable Value below threshold
,"72 West Street, Sowerby Bridge, HX6 3AP",76648072,,5400,Shop and Premises,Empty Relief - Post 01/04/2008
William Hill Organization Ltd,"39 Westgate House, Market Street, Halifax, HX1 1PD",65736704,"William Hill Organisation Ltd, Greenside House, 50 Station Road, Wood Green, London, N22 7TP",25750,Betting Shop And Premises,Empty Relief - Post 01/04/2008
Shaw Lodge Mills Ltd,"Level - 1 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526751,"Reedham House, 31 King Street, Manchester, M3 2PJ",8200,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level - 2 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526701,"Reedham House, 31 King Street, Manchester, M3 2PJ",3800,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 2 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526736,"Reedham House, 31 King Street, Manchester, M3 2PJ",5000,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 3 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526710,"Reedham House, 31 King Street, Manchester, M3 2PJ",4700,Warehouse And Premises,Listed Building
Redman Properties,"Office 4 2ND Floor, Venture House, 3 Silver Street, Halifax              HX1 1HS",68580732,"Waterside, Wakefield Road, Halifax, HX3 0UA",6200,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"Princess Buildings, 18 Princess Street, Halifax, HX1 1TP",68288701,"Westgate House, Market Street, Halifax, HX1 1PS",111000,Offices and Premises,Listed Building
,"Unit 1 First Floor, Commercial Mills, Oldham Road, Ripponden           HX6 4EH",77408707,,1650,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc Markets Manager,"Market Stall 119, Market Hall, Borough Market, Halifax              HX1 1DZ",64288820,"19 Albion Street, Halifax, HX1 1DU",3800,Shop and Premises,Listed Building
R Collett & Sons (Transport) Ltd,"Unit 2 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040724,"Victoria Terminal, Albert Road, Halifax, HX2 0DE",2175,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc Markets Manager,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ",64288721,"19 Albion Street, Halifax, HX1 1DU",5000,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unofficial Address, Unit 204 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124737,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2175,Office and Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 8, Borough Market, Halifax, HX1 1DZ",64288780,"19 Albion Street, Halifax, HX1 1DU",230,Store And Premises,Listed Building
Bizspace Ltd,"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628865,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",5900,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unofficial Address, Unit 4A Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124726,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2175,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unofficial Address, Unit 101 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124730,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",3550,Office and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 10 River Street B Pk, River Street, Brighouse            HD6 1NL",29492744,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Store And Premises,Empty Property - RV < 15000
Marmerel Ltd,"Units 1 & 2, The Old Post Office, Station Road, Sowerby Bridge       HX6 3AA",77552732,"4 Slaithwaite Gate, Golcar, Huddersfield, HD7 4NS",12250,Offices and Premises,Empty Relief - Post 01/04/2008
V C E P Limited,"Globe Works, Victoria Road, Sowerby Bridge, HX6 3AF",77624706,"C/O Mr Clive Lloyd, Design & Display Ltd, Lowfield Way, Lowfield Business Park, Elland, HX5 9DA",69500,Factory and Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Unit Hm 1.04, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",65344501,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1125,Store And Premises,Empty Property - RV < 15000
Slater & Gordon (Uk) Llp,"1ST Floor Crossley Mill, Dean Clough Industrial Park, Halifax, HX3 5AX",64784707,"Landore Court, 51 Charles Street, Cardiff, CF10 2GD",36500,Offices and Premises,Listed Building
Blackhall Engineering Ltd,"Gf U1-2, Ff U1-3, 2 Fl U1, Heaton Industrial Park, Bradford Road, Brighouse            HD6 4DJ",29080800,"362 Bradford Road, Brighouse, HD6 4DJ",16750,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Unit 1D, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",76256789,,320,Warehouse And Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Suite 6 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084825,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2550,Office,Empty Property - RV < 15000
Kinect Build Ltd (In Liquidation),"Age Concern, Harley Street, Todmorden, OL14 5JE",78208708,"Simmonds & Company, Crown House, 217 Higher Hillgate, Stockport, Cheshire, SK1 3RB",6600,Day Centre and Premises,Bankrupt / Liquidation / Winding Up Order
Blackshaw Holdings Ltd,"Office 1 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084864,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1800,Offices and Premises,Rateable Value below threshold
Valley Hall Developments Ltd,"Suite 6, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",56020721,,880,Offices and Premises,Empty Property - RV < 15000
One Stop Stores Ltd,"40 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DP",77408040,"Apex Road, Brownhills, Walsall, WS8 7HU",14500,Shop and Premises,Empty Relief - Post 01/04/2008
Edwards Excavations Ltd,"Unit 6 Springwood Bu'ss Park, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH",64456711,"Unit 6, Woodman Works, South Lane, Elland, HX5 0PA",23750,Warehouse And Premises,Empty Relief - Post 01/04/2008
Millcraft Associates,"Unit 4 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HG",76256708,"Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",1050,Workshop And Premises,Empty Property - RV < 15000
,"Rear 296 Queens Road, Halifax, HX1 4NS",68308742,,3200,Garage And Premises,Empty Relief - Post 01/04/2008
Frank Marshall Estates Ltd,"West Parade Ind Est, West Parade, Halifax, HX1 2TE",69360709,"Unit 2B, Link 606 Office Park, Staithgate Lane, Bradford, BD6 1YA",2275,Workshop And Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Part Units 4/5, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",64812737,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",5300,Workshop And Premises,Empty Relief - Post 01/04/2008
G & W Developments Ltd,"Civic Hall, Rochdale Road, Greetland, Halifax              HX4 8AH",68392758,"Hamnett House, Highroad Well, Halifax, HX2 0AX",26000,Hall And Premises,Listed Building
,"179 King Cross Road, Halifax, HX1 3LN",65516179,,1950,Hairdressing Salon and Premises,Rateable Value below threshold
Quartz Estates (Halifax) Ltd,"10 Commercial Street, Halifax, HX1 1TA",64660712,"824 Harrow Road, Wembley, Middlesex, HA0 3EN",14500,Shop and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Children & Young People's Services,"Grd Flr Carlton Mill, Wharf Street, Sowerby Bridge, HX6 2AS",77652737,"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",780,Offices and Premises,Listed Building
Legal & General Assn [Pens Mgmt] Ltd,"Unit A1, Old Power Way, Lowfields Business Park, Elland              HX5 9DE",56174700,"C/O Jll, Po Box 2880, Bristol, BS8 9FJ",37000,Offices and Premises,Empty Relief - Post 01/04/2008
Blackshaw Holdings Ltd,"Suite D 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",29084853,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1800,Offices and Premises,Rateable Value below threshold
Due West Limited,"Old Sunday School, Carlton Street, Halifax, HX1 2AD",64488710,"O & C Management Limited, 9 Harrison Road, Halifax, HX1 2AF",10000,Dance School And Premises,Listed Building
Maramar Holdings Ltd,"Unit 1, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242784,"The Gatehouse, The Ridings Business Park, Hopwood Lane, Halifax, HX1 3TT",9400,Offices and Premises,Empty Relief - Post 01/04/2008
,"298/300 Ovenden Road, Halifax, HX3 5TJ",68156713,,1175,Workshop And Premises,Empty Property - RV < 15000
The Trustees Of B E Holmes Settlement Trust,"Car Parking Space No 13, John Street, Halifax, HX1 1YA",64400738,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,Car Parking Space,Rateable Value below threshold
Innovative Packaging Limited,"3 Waterhouse Street, Halifax, HX1 1XX",69304700,"2 Lombard Grove, Manchester, M14 6AN",13000,Gymnasium And Premises,Empty Relief - Post 01/04/2008
Shaw Lodge Mills Ltd,"3 Sty Bld Adj The Moq Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526768,"Reedham House, 31 King Street, Manchester, M3 2PJ",12250,Warehouse And Premises,Listed Building
Dean Clough Ltd,"The Cooking School, Dean Clough Mills, Halifax, HX3 5AX",64788856,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",24500,Cooking School And Premises,Listed Building
Dean Clough Ltd,"Office Suite D172, Dean Clough Office Park, Halifax, HX3 5AX",64788760,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1575,Store,Empty Property - RV < 15000
Dean Clough Ltd,"29 Cross Hills, Halifax, HX1 1XQ",64716029,"Op 14 -20, Dean Clough Office Park, Halifax, HX3 5AY",2200,Store And Premises,Listed Building
,"Rear Unit 3 The Warehouse, Wood Street, Brighouse, HD6 1PW",29648719,,2900,Workshop And Premises,Empty Relief - Post 01/04/2008
James Garside & Son Ltd,"Unit 6, Grantham Works, Grantham Road, Halifax              HX3 6PL",65192721,"Unit 2 Grantham Works, Grantham Road, Boothtown, Halifax, HX3 6PL",17750,Factory and Premises,Qualifying industrial hereditament
Benjamin Whiteley & Sons Ltd,"Unit 5 Park Road Mills, Park Road, Elland, HX5 9HX",56192736,"Park Road Mills, Park Road, Elland, HX5 9HX",23250,Warehouse And Premises,Qualifying industrial hereditament
Setbray Properties Ltd,"Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LF",76088805,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",3700,Shop and Premises,Empty Relief - Post 01/04/2008
Harley House Ripponden Ltd.,"Suite 5 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",77348785,"Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",1775,Offices and Premises,Rateable Value below threshold
Harley House Ripponden Ltd.,"Suite 3 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",77348787,"Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",940,Offices and Premises,Rateable Value below threshold
,"7 Park Road, Halifax, HX1 2TS",68208704,,11500,Surgery And Premises,Listed Building
Threadneedle Uk Property Authorsied Investment Fund,"Unit J6 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA",56174780,"C/O Workman Llp, 4th Floor Minton Place, Station Road, Swindon, SN1 1DA",477500,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Bramsche Bar, 31 Rochdale Road, Todmorden, OL14 7LA",78400747,,11500,Public House and Premises,Awaiting occupation
Shaw Lodge Mills Ltd,"Unit 70 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344734,"Walker Singleton Ltd, C/O Property House, Lister Lane, Halifax, HX1 5AS",3750,Offices and Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Office Hm 3.7 - 3.8, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344531,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2350,Offices And Premises,Rateable Value below threshold
Quantum Exhibitions & Displays Ltd (In Liquidation),"Hillcrest House, Brow Mills Industrial Estate, Brighouse Road, Hipperholme",64376738,"Capa, Audit Department, Po Box 29416, Glasgow, G67 1XU",26500,Workshop And Premises,Bankrupt / Liquidation / Winding Up Order
Thornber Chicks Ltd,"Unit 2C, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",76160823,"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",8800,Offices and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Fletchers Mill, Dean Clough Mills, Halifax, HX3 5AX",64296700,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",83500,Offices and Premises,Listed Building
Rokt Ltd,"Sugdens Old Flour Mill, Mill Royd Street, Brighouse, HD6 1EY",29424729,"Climbing Gym, The Old Flour Mill, Mill Royd Street, Brighouse, HD6 1EY",2800,Warehouse And Premises,Rateable Value below threshold
,"3 Wharf Street, Sowerby Bridge, HX6 2EG",77652003,,2600,Shop and Premises,Rateable Value below threshold
,"Office 20, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452747,,2025,Offices and Premises,Empty Property - RV < 15000
Younger Homes [Northern] Ltd,"Trade Car Outlet (Rear), Mill Royd Street, Brighouse, HD6 1EY",29424731,"Unit 4 Brookfoot Business Park, Brookfoot, Brighouse, HD6 2SD",2550,Car Display Land and Premises,Empty Property - RV < 15000
Tosca North East Ltd,"1 Wellington Arcade, Briggate, Brighouse, HD6 1DN",29624001,"C/O London & Scottish Inv Ltd, 349 Bath Street, Glasgow, G2 4AA",12750,Shop and Premises,Empty Relief - Post 01/04/2008
Just Give It A Go Ltd,"29 Lombard Street, Halifax, HX1 3PA",65660029,"224 King Cross Road, Halifax, HX1 3JP",1775,Workshop And Premises,Rateable Value below threshold
Hebden Royd Town Council,"Unit 3, Picture House Buildings, New Road, Hebden Bridge        HX7 8AD",76396704,"Council Offices, St George's Street, Hebden Bridge, HX7 7BT",6800,Shop and Premises,Listed Building
Craggs Country Business Park Llp,"Suite 5 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400720,"H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",2750,Office and Premises,Awaiting occupation
Kino & Co,"Unit 5A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344933,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",6800,Warehouse And Premises,Qualifying industrial hereditament
Bizspace Ltd,"Unit 11C/D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628873,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",5300,Offices And Premises,Empty Relief - Post 01/04/2008
Venturian Funding & Investment Group Ltd,"Mission Works, Birds Royd Lane, Brighouse, HD6 1LQ",29052703,"1 Mariner Court, Calder Business Park, Wakefield, WF4 3FL",65000,Factory and Premises,Qualifying industrial hereditament
Wattlid Ltd,"Unit 1 Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QG",76252818,"The Continuum, Moderna Business Park, Mytholmroyd, HX7 5QQ",19500,Warehouse And Premises,Qualifying industrial hereditament
Calder Community Kitchen Ltd,"7 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408007,,2275,Shop and Premises,Rateable Value below threshold
W Hartley & Sons Ltd,"Adj Central Ironworks, Gordon Street, Boothtown, Halifax              HX3 6NU",65188705,,1400,Warehouse And Premises,Rateable Value below threshold
